Sapling.ID,Stem.Wood.Density,Modulus.Of.Elasticity,Branching.Distance,Branch.Diameter,Branch.Wood.Density,Vessel.Diameter,Lumen.Fraction,Ks,Kbranch,t.b2,Leaf.Area,Leaf.Mass.per.Area,Leaf.Thickness,Leaf.Carbon.Concentration,Leaf.Nitrogen.Concentration,Leaf.Phosphorus.Concentration,Carbon.13.isotope.ratio,Elevation,Total.Transmitted.Light ,Percent.Canopy.Opening,Summer.Max.Temp,Fall.Min.Temp,Mean.Summer.and.Fall.Temp,Slope,North.Aspect,East.Aspect,Soil.Humidity,Soil.pH,Soil.Total.Organic.Carbon,Soil.Total.Nitrogen,Soil.Phosphorus,Soil.Potassium,Soil.Calcium,Soil.Magnesium,Soil.Depth,Symmetric.Competition,Asymmetric.Competition,Species,Site.Name,Tree.Age,Tree.Height,julian.date.2011,Branch.Height
J17QUR25,0.705585106,4010.304438,13.55,6.03,0.615478883,31800.69843,0.063018283,122.1285983,471.2393493,0.053401346,45.77714286,51.9207964,0.1332,44.745,2.2664,10.9232699,-30.48014534,70,3.02,5.47,26.83,-10.83,13.81,0,0,0,0.119,6.2,2.321247334,0.050182971,13.4691962,99.87319496,1566.780214,147.7238291,55,14.796,0.736,QUR,Mme Boucher,13,262,194,1.7
J17TIA23,0.302154626,696.7590192,16.14285714,6.43,0.357704078,5307.259933,0.133818112,65.26612185,1186.595141,0.036429285,43.09315789,30.02064072,0.1144,45.8642,3.157,20.65311213,-30.95980347,70,2.81,5.48,26.83,-10.83,13.81,0,0,0,0.1,5.55,7.654096621,0.302031851,11.83597836,110.5263114,2274.744067,142.5026358,47,0.129,44.962,TIA,Mme Boucher,11,261,194,2
J17ULA12,0.756716418,1467.771471,13.875,4.62,0.559621693,11140.203,0.177764913,244.640189,773.2381354,0.030986512,22.09473684,42.13911386,0.106,44.9593,2.6953,15.00651451,-29.86118622,70,2.47,5.04,26.83,-10.83,13.81,0,0,0,0.074333333,NA,NA,NA,NA,NA,NA,NA,55,3.569,62.211,ULA,Mme Boucher,33,236,194,2.1
J17ULA14,0.646419753,2820.362446,9.294117647,4.555,0.501836621,6604.169964,0.142076897,97.28563476,248.3889285,0.049898005,19.7672,32.85240196,0.0928,45.5405,3.0034,18.88553522,-30.6911248,70,2.33,5.36,26.83,-10.83,13.81,0,0,0,0.094,5.49,6.054989471,0.364620939,19.49252619,115.9595115,1862.694677,117.515121,43,1.833,67.269,ULA,Mme Boucher,34,362,194,2.7
J17ULA15,0.721662338,3772.083428,8.5,5.025,0.539573744,9628.050576,0.145727619,257.0043269,972.8360071,0.046466125,18.06606061,33.4127277,0.135,42.7684,2.3746,20.32632386,-30.71479118,70,2.88,5.88,26.83,-10.83,13.81,0,0,0,0.264,5.53,7.504457346,0.308609048,15.62135093,114.4249256,2676.845326,151.3385133,32,12.111,41.973,ULA,Mme Boucher,27,443,194,3.1
J18BEPO15,0.55293247,1624.471067,22.33333333,4.305,0.487172592,7119.431634,0.182108673,85.23560825,1577.214676,0.016901424,7.833650794,86.62262928,0.1932,50.2095,2.9707,20.2414485,-28.19811043,51,13.42,29.51,32.17,-12.5,14.67,0,0,0,0.085,5.32,2.019377434,0.07169088,48.61572195,88.33731419,575.6409749,65.96205587,55,0.100,0.399,BEPO,Cabosse d'Or,7,435,201,2.9
J18POD8,0.425755568,1132.525405,45,5.145,0.489034991,14880.28227,0.180832055,164.6063741,2765.150525,0.018683521,20.97878049,101.4381547,0.2268,44.6631,2.3883,14.9660505,-28.98805031,51,8.1,25.28,32.17,-12.5,14.67,0,0,0,0.187333333,5.56,2.492662244,0.087808008,12.41461537,98.79066038,1533.509843,153.8057318,55,0.942,1.128,POD,Cabosse d'Or,14,500,201,4
J18POD9,0.508307692,1299.94218,100,4.375,0.485565999,12887.37985,0.187147156,172.3581841,2963.472685,0.016403419,29.415,109.3708264,0.2342,46.7352,1.9107,13.28352151,-28.24588402,51,24.89,45.61,32.17,-12.5,14.67,0,0,0,0.098,6.1,3.27790351,0.151270553,40.67838936,108.3419677,2001.380679,134.2753884,43,0.022,0.958,POD,Cabosse d'Or,9,253,201,1.7
J18POG10,0.501849315,2072.934941,25,5.495,0.394735296,11293.82454,0.187217671,134.5613555,2424.86255,0.014113673,19.62666667,77.65794837,0.1544,50.1481,2.78,15.84433733,-29.34503708,51,4.11,12.68,32.17,-12.5,14.67,0,0,0,0.088333333,NA,NA,NA,NA,NA,NA,NA,NA,1.403,1.066,POG,Cabosse d'Or,5,276,201,1.8
J18POG8,0.455652501,1860.588439,11.875,6.15,0.377084371,10599.19821,0.185129208,115.8499557,2059.022354,0.018281121,18.85173913,85.65695703,0.1582,50.7189,3.091,20.34737579,-29.47694382,51,15,28.3,32.17,-12.5,14.67,0,0,0,0.078,NA,NA,NA,NA,NA,NA,NA,NA,0.652,0.889,POG,Cabosse d'Or,5,408,201,2.5
